Local Image Location,Alt Tag,HubSpot Image Location,Cloudflare
./Hank_Imgs/va-logo@0 1.png,Company Logo,{{ get_asset_url('/Zorica/images/va-logo.png') }},curl -H 'Authorization: Bearer <api_token>' https://api.cloudflare.com/client/v4/accounts/111680333e3dba9cff443234dec5704b/images/v1/94dbfb56-924c-4119-674f-7908dc707b00
./Hank_Imgs/PowerMIc_4-TVPS-ECS_Top__92336 1.png,PowerMic,{{ get_asset_url('/Zorica/images/PowerMIc_4-TVPS-ECS_Top__92336 1.png') }},curl -H 'Authorization: Bearer <api_token>' https://api.cloudflare.com/client/v4/accounts/111680333e3dba9cff443234dec5704b/images/v1/469807d3-f30c-40d5-f504-cc6bcbb56000
./Hank_Imgs/Group 95.png,Remote Specification,{{ get_asset_url('/Zorica/images/Group 95.png') }},curl -H 'Authorization: Bearer <api_token>' https://api.cloudflare.com/client/v4/accounts/111680333e3dba9cff443234dec5704b/images/v1/175970bd-a197-43be-9a62-31f743236e00
./Hank_Imgs/health-insurance (1) 1.png,Health Insurance,{{ get_asset_url('/Zorica/images/health-insurance.png') }},curl -H 'Authorization: Bearer <api_token>' https://api.cloudflare.com/client/v4/accounts/111680333e3dba9cff443234dec5704b/images/v1/a457a951-5684-4db9-e22a-41dfa2d37500
./Hank_Imgs/consultation (1) 1.png,Consultation,{{ get_asset_url('/Zorica/images/consultation.png') }},curl -H 'Authorization: Bearer <api_token>' https://api.cloudflare.com/client/v4/accounts/111680333e3dba9cff443234dec5704b/images/v1/24ef1b65-6f3a-4e3b-eb21-be68cb1a9d00
./Hank_Imgs/online-registration (1) 1.png,Online Registration,{{ get_asset_url('/Zorica/images/online-registration.png') }},curl -H 'Authorization: Bearer <api_token>' https://api.cloudflare.com/client/v4/accounts/111680333e3dba9cff443234dec5704b/images/v1/ef0b42cc-4da3-461b-e510-9a60e8f1a600
./Hank_Imgs/medium-shot-patient-looking-radiography 1.png,medium-shot-patient-looking-radiography,{{ get_asset_url('/Zorica/images/medium-shot-patient-looking-radiography.png') }},curl -H 'Authorization: Bearer <api_token>' https://api.cloudflare.com/client/v4/accounts/111680333e3dba9cff443234dec5704b/images/v1/cdee475c-2e0c-45c9-8b6e-4d21a24b3f00
./Hank_Imgs/instagram.png,Instagram Social Media Link,{{ get_asset_url('/Zorica/images/instagram.png') }},curl -H 'Authorization: Bearer <api_token>' https://api.cloudflare.com/client/v4/accounts/111680333e3dba9cff443234dec5704b/images/v1/aa051051-9e27-483d-ccb5-1d7563865200
./Hank_Imgs/fb.png,Facebook Social Media Link,{{ get_asset_url('/Zorica/images/fb.png') }},curl -H 'Authorization: Bearer <api_token>' https://api.cloudflare.com/client/v4/accounts/111680333e3dba9cff443234dec5704b/images/v1/b4f02bae-6508-408b-da42-5a2ac7c4b900
./Hank_Imgs/XMLID_826_.png,Twitter Social Media Link,{{ get_asset_url('/Zorica/images/XMLID_826_.png') }},curl -H 'Authorization: Bearer <api_token>' https://api.cloudflare.com/client/v4/accounts/111680333e3dba9cff443234dec5704b/images/v1/941cbf44-4339-45db-be1d-3b9a8f71f800
